marque,model,Puissance fiscale,Carburant,Année de sortie du modèle,Boite de vitesses,price
abarth,595,8 cv,Essence,2020 - 2024,Manuelle,242403
abarth,595,8 cv,Essence,2020 - 2024,Manuelle,271503
abarth,595-cabriolet,8 cv,Essence,2020 - 2024,Manuelle,244900
abarth,595-cabriolet,8 cv,Essence,2020 - 2024,Manuelle,269900
abarth,595-cabriolet,8 cv,Essence,2020 - 2024,Manuelle,299900
alfa-romeo,4c,14 cv,Essence,2013 - 2024,Automatique,757500
alfa-romeo,4c,14 cv,Essence,2014 - 2024,Automatique,857500
alfa-romeo,giulia,9 cv,Diesel,2021 - 2024,Automatique,556900
alfa-romeo,giulia,9 cv,Diesel,2021 - 2024,Automatique,595000
alfa-romeo,giulia,9 cv,Essence,2022 - 2024,Automatique,665000
alfa-romeo,giulietta,6 cv,Diesel,2017 - 2024,Manuelle,229900
alfa-romeo,giulietta,6 cv,Diesel,2017 - 2024,Automatique,249900
alfa-romeo,giulietta,6 cv,Diesel,2017 - 2024,Manuelle,249900
alfa-romeo,giulietta,6 cv,Diesel,2017 - 2024,Automatique,269900
alfa-romeo,giulietta,6 cv,Diesel,2017 - 2024,Automatique,269900
alfa-romeo,giulietta,8 cv,Diesel,2017 - 2024,Automatique,279900
alfa-romeo,stelvio,9 cv,Diesel,2017 - 2024,Automatique,470000
alfa-romeo,stelvio,9 cv,Diesel,2017 - 2024,Automatique,600000
alfa-romeo,stelvio,9 cv,Diesel,2017 - 2024,Automatique,650000
alfa-romeo,tonale,8 cv,Hybride,2022 - 2024,Automatique,394000
alfa-romeo,tonale,8 cv,Diesel,2022 - 2024,Automatique,379500
alfa-romeo,tonale,8 cv,Diesel,2022 - 2024,Automatique,406500
aston-martin,db11,cv,Essence,2019 - 2024,Automatique,None
aston-martin,db11,cv,Essence,2019 - 2024,Automatique,None
aston-martin,db11,cv,Essence,2019 - 2024,Automatique,None
aston-martin,dbs-supperleggera,cv,Essence,2020 - 2024,Automatique,None
aston-martin,dbs-supperleggera,cv,Essence,2020 - 2024,Automatique,None
aston-martin,dbx,cv,Essence,2021 - 2024,Automatique,None
aston-martin,vantage,cv,Essence,2021 - 2024,Automatique,None
aston-martin,vantage,cv,Essence,2021 - 2024,Automatique,None
audi,a1,8 cv,Essence,2017 - 2024,Automatique,None
