marque,model,Puissance fiscale,Carburant,Année,Boite de vitesses,price
LAND-ROVER,Range,12,Diesel,2017,Automatique,490000
LAND-ROVER,Range,12,Diesel,2016,Automatique,355000
BMW,X5,8,Diesel,2016,Automatique,260000
LAND-ROVER,Range,8,Diesel,2018,Automatique,310000
MERCEDES,Classe,8,Diesel,2022,Automatique,820000
MERCEDES,Classe,8,Diesel,2019,Automatique,355000
HYUNDAI,Santa,9,Diesel,2020,Automatique,285000
MERCEDES,Gle,12,Diesel,2018,Automatique,339000
ALFA-ROMEO,Stelvio,9,Diesel,2019,Automatique,275000
JEEP,Renegade,6,Diesel,2022,Automatique,257000
RENAULT,Clio,6,Diesel,2020,Automatique,152000
LAND-ROVER,Range,8,Diesel,2018,Automatique,370000
BENTLEY,Continental,30,Essence,2017,Automatique,1100000
VOLKSWAGEN,Touareg,12,Diesel,2023,Automatique,480000
JEEP,Grand,12,Diesel,2017,Automatique,200000
BMW,Serie,12,Diesel,2017,Automatique,450000
AUDI,Q5,8,Diesel,2019,Automatique,440000
LAND-ROVER,Range,12,Diesel,2016,Automatique,365000
MERCEDES,Classe,9,Diesel,2004,Automatique,98000
MERCEDES,Classe,8,Diesel,2008,Automatique,137000
MERCEDES,Classe,11,Diesel,2006,Automatique,105000
MERCEDES,Classe,11,Diesel,2008,Automatique,108000
VOLKSWAGEN,Golf,8,Diesel,2022,Automatique,310000
HYUNDAI,Elantra,6,Diesel,2019,Manuelle,153000
BMW,Serie,8,Diesel,2015,Automatique,225000
RENAULT,Megane,6,Diesel,2020,Automatique,186000
HONDA,Cr-v,9,Diesel,2012,Automatique,123000
NISSAN,Evalia,6,Diesel,2019,Manuelle,102000
DACIA,Duster,6,Diesel,2021,Manuelle,141900
DACIA,Duster,6,Diesel,2021,Automatique,159000
TOYOTA,C-hr,10,Hybride,2020,Automatique,224000
VOLKSWAGEN,Touareg,12,Diesel,2019,Automatique,359000
TOYOTA,C-hr,10,Hybride,2022,Automatique,240000
TOYOTA,C-hr,10,Hybride,2022,Automatique,240000
SKODA,Kodiaq,8,Diesel,2020,Automatique,269000
DACIA,Duster,8,Diesel,2022,Automatique,222000
FORD,Fiesta,7,Essence,2016,Manuelle,72000
MINI,One,6,Essence,2016,Manuelle,162000
DACIA,Logan,6,Diesel,2021,Manuelle,125000
AUDI,Q8,12,Diesel,2023,Automatique,1220000
BMW,Serie,12,Diesel,2019,Automatique,780000
TOYOTA,Auris,8,Essence,2009,Manuelle,62000
PEUGEOT,2008,6,Diesel,2024,Automatique,342000
PEUGEOT,2008,6,Diesel,2024,Automatique,342000
PEUGEOT,208,6,Diesel,2022,Manuelle,162000
HYUNDAI,Accent,6,Diesel,2019,Manuelle,103000
PEUGEOT,208,6,Diesel,2019,Manuelle,118000
VOLKSWAGEN,Touareg,12,Diesel,2016,Automatique,168000
VOLKSWAGEN,Touareg,12,Diesel,2015,Automatique,155000
PEUGEOT,208,9,Essence,2016,Manuelle,114000
SSANGYONG,Actyon,8,Diesel,2011,Manuelle,73000
OPEL,Astra,7,Diesel,2009,Manuelle,78000
OPEL,Insignia,8,Diesel,2014,Manuelle,110000
NISSAN,Pathfinder,10,Diesel,2012,Manuelle,113000
RENAULT,Koleos,14,Essence,2009,Manuelle,43000
PORSCHE,Macan,11,Essence,2021,Automatique,860000
AUDI,Rs-q3,11,Essence,2020,Automatique,680000
BMW,I3s,9,Electrique,2020,Automatique,340000
PORSCHE,Panamera,13,Hybride,2019,Automatique,880000
RENAULT,Kangoo,6,Diesel,2013,Manuelle,66000
AUDI,A6,9,Diesel,2012,Automatique,145000
JEEP,Grand,11,Diesel,2009,Manuelle,55000
NISSAN,Pathfinder,9,Diesel,2014,Automatique,135000
RENAULT,Latitude,8,Diesel,2011,Manuelle,68000
GWM,Florid,9,Essence,2021,Automatique,470000
VOLKSWAGEN,Golf,8,Diesel,2024,Automatique,620000
RENAULT,Kadjar,6,Diesel,2016,Manuelle,168000
HYUNDAI,Tucson,6,Diesel,2021,Manuelle,272500
RENAULT,Express,6,Diesel,2021,Manuelle,125000
AUDI,A5,8,Diesel,2017,Automatique,279000
SKODA,Fabia,6,Essence,2019,Manuelle,98000
MERCEDES,Classe,8,Diesel,2018,Automatique,295000
AUDI,Q8,12,Diesel,2020,Automatique,790000
JEEP,Cherokee,,Diesel,2021,Automatique,315000
BMW,Serie,8,Diesel,2015,Automatique,275000
BMW,Serie,8,Diesel,2019,Automatique,420000
OPEL,Crossland,6,Diesel,2018,Manuelle,166000
VOLKSWAGEN,Tiguan,8,Diesel,2016,Manuelle,182000
JAGUAR,Xf,8,Diesel,2019,Automatique,329500
DACIA,Logan,6,Diesel,2010,Manuelle,73000
FORD,Fiesta,6,Diesel,2016,Manuelle,115000
DACIA,Duster,6,Diesel,2019,Automatique,183000
PEUGEOT,2008,6,Diesel,2021,Automatique,249000
RENAULT,Clio,6,Diesel,2019,Automatique,149000
PEUGEOT,3008,8,Diesel,2022,Automatique,345000
RENAULT,Megane,6,Diesel,2018,Automatique,210000
MAZDA,Mx3,9,Essence,1994,Manuelle,24000
LAND-ROVER,Range,12,Diesel,2014,Automatique,355000
VOLVO,Xc40,8,Essence,2022,Automatique,355000
JEEP,Renegade,6,Diesel,2022,Manuelle,220000
FIAT,500x,6,Diesel,2022,Automatique,235000
FIAT,Tipo,9,Essence,2022,Automatique,144000
PEUGEOT,2008,6,Diesel,2017,Manuelle,150000
CITROEN,C3,7,Essence,2019,Manuelle,115000
RENAULT,Clio,,Diesel,2022,,165000
RENAULT,Captur,,Diesel,2022,,234000
DACIA,Sandero,,Diesel,2021,,140000
RENAULT,Clio,,Diesel,2019,,150000
DACIA,Logan,,Essence,2021,,108000
LAND-ROVER,Range,8,Diesel,2016,Automatique,320000
LAND-ROVER,Range,8,Diesel,2018,Automatique,320000
LAND-ROVER,Range,8,Diesel,2018,Automatique,760000
VOLKSWAGEN,Tiguan,8,Diesel,2012,Automatique,220000
ALFA-ROMEO,Stelvio,9,Diesel,2018,Automatique,239000
FIAT,Fullback,10,Diesel,2021,Manuelle,140000
JEEP,Grand,12,Diesel,2016,Automatique,162000
HYUNDAI,Tucson,8,Diesel,2019,Automatique,290000
VOLKSWAGEN,Passat,8,Diesel,2019,Automatique,206000
FIAT,Tipo,6,Diesel,2019,Manuelle,115000
FIAT,Doblo,5,Diesel,2017,Manuelle,80000
FIAT,Doblo,6,Diesel,2019,Manuelle,90000
FIAT,Fiorino,6,Diesel,2018,Manuelle,88000
FIAT,Doblo,6,Diesel,2018,Manuelle,98000
RENAULT,Kangoo,6,Diesel,2020,Manuelle,105000
DACIA,Sandero,6,Diesel,2013,Manuelle,69000
MERCEDES,220,8,Diesel,1996,Manuelle,50000
PEUGEOT,206,6,Essence,2005,Manuelle,44000
SUZUKI,Celerio,6,Essence,2014,Manuelle,57000
FIAT,Punto,7,Essence,2007,Manuelle,52000
MERCEDES,Gle,31,Essence,2016,Automatique,640000
AUDI,Q3,8,Diesel,2020,Automatique,629000
LAND-ROVER,Range,8,Diesel,2020,Automatique,478000
PEUGEOT,3008,8,Diesel,2021,Automatique,319000
BMW,Serie,12,Diesel,2017,Automatique,369000
JAGUAR,Xe,8,Diesel,2017,Automatique,248000
VOLVO,V40,6,Diesel,2018,Automatique,162000
VOLKSWAGEN,Arteon,8,Diesel,2018,Automatique,229000
AUDI,A7,12,Diesel,2012,Automatique,159000
JEEP,Grand,12,Diesel,2019,Automatique,225000
MERCEDES,Classe,9,Diesel,2013,,175000
JAGUAR,F-pace,8,Diesel,2018,,255000
PEUGEOT,508,6,Diesel,2017,,140000
PEUGEOT,2008,6,Diesel,2018,,160000
CITROEN,C4,6,Diesel,2015,,135000
RENAULT,Clio,6,Diesel,2022,Manuelle,146000
FIAT,Uno,,Essence,1999,Manuelle,20000
DACIA,Duster,6,Diesel,2015,Manuelle,130000
RENAULT,Megane,6,Diesel,2012,Manuelle,109000
PEUGEOT,208,6,Diesel,2017,Manuelle,117000
AUDI,A6,8,Diesel,2011,Automatique,160000
FIAT,Uno,7,Essence,2002,Manuelle,22000
DACIA,Sandero,6,Diesel,2018,Manuelle,105000
LAND-ROVER,Range,12,Diesel,2020,Automatique,600000
RENAULT,Zoe,10,Electrique,2022,Automatique,195000
DACIA,Duster,6,Diesel,2011,Manuelle,85000
FORD,Focus,7,Diesel,2016,Manuelle,148000
SEAT,Leon,7,Diesel,2016,Manuelle,145000
VOLKSWAGEN,Tiguan,8,Diesel,2012,Automatique,145000
VOLKSWAGEN,Touran,8,Diesel,2016,Automatique,265000
LAND-ROVER,Range,8,Diesel,2017,Automatique,210000
PEUGEOT,206,8,Essence,2005,Manuelle,45000
FORD,Galaxy,,Diesel,2005,Manuelle,80000
ALFA-ROMEO,Stelvio,12,Diesel,2019,Automatique,158000
IVECO,Autre,10,Diesel,2019,Manuelle,360000
MERCEDES,Classe,9,Essence,2012,Manuelle,130000
PEUGEOT,308,6,Diesel,2022,Manuelle,210000
RENAULT,Megane,6,Diesel,2019,Manuelle,159000
VOLKSWAGEN,Golf,8,Diesel,2008,Automatique,95000
SKODA,Octavia,6,Diesel,2015,Manuelle,135000
MERCEDES,Classe,9,Diesel,2012,Automatique,178000
SEAT,Leon,7,Diesel,2016,Manuelle,145000
MERCEDES,Classe,8,Diesel,2008,Automatique,137000
MITSUBISHI,Pajero,11,Diesel,2008,Manuelle,62000
MERCEDES,250,8,Diesel,1995,Manuelle,70000
MERCEDES,Classe,9,Diesel,2004,Automatique,98000
ALFA-ROMEO,Giulia,9,Diesel,2022,Automatique,380000
ALFA-ROMEO,Tonale,8,Hybride,2022,Automatique,370000
JEEP,Grand,12,Diesel,2017,Automatique,370000
SKODA,Octavia,6,Diesel,2021,Automatique,220000
TOYOTA,Corolla,10,Hybride,2023,Automatique,225000
ALFA-ROMEO,4c,10,Essence,2023,Automatique,779000
JEEP,Renegade,6,Diesel,2022,Manuelle,219999
DODGE,Caliber,37,Essence,2023,Automatique,429999
HONDA,Accord,9,Diesel,2011,Automatique,105000
JEEP,Renegade,6,Diesel,2019,Automatique,195000
JEEP,Renegade,6,Diesel,2019,Automatique,208000
KIA,Carens,8,Diesel,2009,Manuelle,64000
JEEP,Renegade,6,Diesel,2019,Automatique,209000
CITROEN,C3,6,Diesel,2022,Manuelle,139000
SEAT,Leon,8,Diesel,2018,Manuelle,150000
RENAULT,Clio,6,Diesel,2020,Manuelle,113000
KIA,Rio,6,Diesel,2016,Manuelle,95000
CITROEN,C3,6,Diesel,2019,Manuelle,113000
RENAULT,Clio,6,Diesel,2017,Manuelle,118000
SEAT,Ateca,8,Diesel,2019,Automatique,275000
FORD,Kuga,8,Diesel,2017,Automatique,185000
MERCEDES,Autre,8,Diesel,2017,Automatique,470000
PORSCHE,Cayenne,12,Diesel,2018,Automatique,530000
BMW,X5,8,Diesel,2016,Automatique,260000
VOLKSWAGEN,Golf,6,Diesel,2018,Automatique,165000
SEAT,Ibiza,6,Diesel,2017,Manuelle,118000
CITROEN,C3,6,Diesel,2021,Manuelle,149000
BMW,Serie,8,Diesel,2021,Automatique,490000
RENAULT,Megane,6,Diesel,2019,Manuelle,159000
RENAULT,Clio,6,Diesel,2020,Manuelle,139000
PEUGEOT,208,6,Diesel,2020,Manuelle,159000
MINI,Cooper,9,Essence,2017,Automatique,182000
NISSAN,Qashqai,6,Diesel,2017,Manuelle,169000
NISSAN,Qashqai,6,Diesel,2017,Manuelle,169000
AUDI,A3,8,Diesel,2018,Manuelle,205000
MERCEDES,Classe,8,Diesel,2022,Automatique,860000
LAND-ROVER,Range,12,Diesel,2018,Automatique,800000
LAND-ROVER,Range,12,Diesel,2016,,305000
TOYOTA,Yaris,6,Essence,2022,,152000
TOYOTA,Yaris,9,Hybride,2022,,229000
TOYOTA,C-hr,10,Hybride,2020,Automatique,228000
VOLKSWAGEN,Caddy,8,Diesel,2020,Manuelle,157000
TOYOTA,C-hr,10,Hybride,2018,Automatique,191000
AUDI,A1,6,Diesel,2018,Automatique,194000
