marque,model,Puissance fiscale,Carburant,Année,Boite de vitesses,etat,price
abarth,595,8,Essence,2020,Manuelle,1,242403
abarth,595,8,Essence,2020,Manuelle,1,271503
abarth,595-cabriolet,8,Essence,2020,Manuelle,1,244900
abarth,595-cabriolet,8,Essence,2020,Manuelle,1,269900
abarth,595-cabriolet,8,Essence,2020,Manuelle,1,299900
alfa-romeo,4c,14,Essence,2013,Automatique,1,757500
alfa-romeo,4c,14,Essence,2014,Automatique,1,857500
alfa-romeo,giulia,9,Diesel,2021,Automatique,1,556900
alfa-romeo,giulia,9,Diesel,2021,Automatique,1,595000
alfa-romeo,giulia,9,Essence,2022,Automatique,1,665000
alfa-romeo,giulietta,6,Diesel,2017,Manuelle,1,229900
alfa-romeo,giulietta,6,Diesel,2017,Automatique,1,249900
alfa-romeo,giulietta,6,Diesel,2017,Manuelle,1,249900
alfa-romeo,giulietta,6,Diesel,2017,Automatique,1,269900
alfa-romeo,giulietta,6,Diesel,2017,Automatique,1,269900
alfa-romeo,giulietta,8,Diesel,2017,Automatique,1,279900
alfa-romeo,stelvio,9,Diesel,2017,Automatique,1,470000
alfa-romeo,stelvio,9,Diesel,2017,Automatique,1,600000
alfa-romeo,stelvio,9,Diesel,2017,Automatique,1,650000
alfa-romeo,tonale,8,Hybride,2022,Automatique,1,394000
alfa-romeo,tonale,8,Diesel,2022,Automatique,1,379500
alfa-romeo,tonale,8,Diesel,2022,Automatique,1,406500
aston-martin,db11,,Essence,2019,Automatique,1,None
aston-martin,db11,,Essence,2019,Automatique,1,None
aston-martin,db11,,Essence,2019,Automatique,1,None
aston-martin,dbs-supperleggera,,Essence,2020,Automatique,1,None
aston-martin,dbs-supperleggera,,Essence,2020,Automatique,1,None
aston-martin,dbx,,Essence,2021,Automatique,1,None
aston-martin,vantage,,Essence,2021,Automatique,1,None
aston-martin,vantage,,Essence,2021,Automatique,1,None
audi,a1,8,Essence,2017,Automatique,1,None
audi,a1,8,Essence,2017,Automatique,1,None
audi,a1,8,Essence,2017,Automatique,1,None
audi,a3-berline,8,Diesel,2021,Automatique,1,380000
audi,a3-berline,8,Diesel,2021,Automatique,1,424000
audi,a3-berline,8,Diesel,2021,Automatique,1,466000
audi,a3-berline,8,Diesel,2021,Automatique,1,499000
audi,a3-sportback,8,Diesel,2021,Manuelle,1,327000
audi,a3-sportback,8,Diesel,2021,Manuelle,1,365000
audi,a3-sportback,8,Diesel,2021,Automatique,1,365000
audi,a3-sportback,8,Diesel,2021,Automatique,1,409000
audi,a3-sportback,8,Diesel,2021,Automatique,1,451000
audi,a3-sportback,8,Diesel,2021,Automatique,1,484000
audi,a4,8,Diesel,2020,Manuelle,1,463000
audi,a4,8,Diesel,2020,Automatique,1,483000
audi,a4,8,Diesel,2020,Automatique,1,523000
audi,a4,8,Diesel,2020,Automatique,1,640000
audi,a5-coupe,8,Diesel,2020,Automatique,1,699000
audi,a5-sportback,8,Diesel,2020,Automatique,1,522000
audi,a5-sportback,8,Diesel,2020,Automatique,1,578000
audi,a5-sportback,8,Diesel,2020,Automatique,1,583000
audi,a5-sportback,8,Diesel,2020,Automatique,1,706000
audi,a6,8,Diesel,2020,Automatique,1,540000
audi,a6,8,Diesel,2020,Automatique,1,635000
audi,a6,8,Diesel,2020,Automatique,1,717000
audi,a6,8,Diesel,2020,Automatique,1,829000
audi,a6,12,Diesel,2020,Automatique,1,925000
audi,a6,12,Diesel,2020,Automatique,1,959000
audi,a7,8,Diesel,2020,Automatique,1,780000
audi,a7,8,Diesel,2020,Automatique,1,900000
audi,a7,12,Diesel,2020,Automatique,1,1000000
audi,a7,12,Diesel,2020,Automatique,1,1100000
audi,a8,12,Diesel,2022,Automatique,1,1230000
audi,a8,12,Diesel,2022,Automatique,1,1340000
audi,a8,12,Diesel,2022,Automatique,1,1500000
audi,e-tron,22,Electrique,2022,Automatique,1,1050000
