marque,model,Puissance fiscale,Carburant,Année,Boite de vitesses,etat,price
land-rover,Range,12.0,Diesel,2017,Automatique,0,490000.0
land-rover,Range,12.0,Diesel,2016,Automatique,0,355000.0
bmw,X5,8.0,Diesel,2016,Automatique,0,260000.0
land-rover,Range,8.0,Diesel,2018,Automatique,0,310000.0
mercedes,Classe,8.0,Diesel,2022,Automatique,0,820000.0
mercedes,Classe,8.0,Diesel,2019,Automatique,0,355000.0
hyundai,Santa,9.0,Diesel,2020,Automatique,0,285000.0
mercedes,Gle,12.0,Diesel,2018,Automatique,0,339000.0
alfa-romeo,Stelvio,9.0,Diesel,2019,Automatique,0,275000.0
jeep,Renegade,6.0,Diesel,2022,Automatique,0,257000.0
renault,Clio,6.0,Diesel,2020,Automatique,0,152000.0
land-rover,Range,8.0,Diesel,2018,Automatique,0,370000.0
bentley,Continental,30.0,Essence,2017,Automatique,0,1100000.0
volkswagen,Touareg,12.0,Diesel,2023,Automatique,0,480000.0
jeep,Grand,12.0,Diesel,2017,Automatique,0,200000.0
bmw,Serie,12.0,Diesel,2017,Automatique,0,450000.0
audi,Q5,8.0,Diesel,2019,Automatique,0,440000.0
land-rover,Range,12.0,Diesel,2016,Automatique,0,365000.0
mercedes,Classe,9.0,Diesel,2004,Automatique,0,98000.0
mercedes,Classe,8.0,Diesel,2008,Automatique,0,137000.0
mercedes,Classe,11.0,Diesel,2006,Automatique,0,105000.0
mercedes,Classe,11.0,Diesel,2008,Automatique,0,108000.0
volkswagen,Golf,8.0,Diesel,2022,Automatique,0,310000.0
hyundai,Elantra,6.0,Diesel,2019,Manuelle,0,153000.0
bmw,Serie,8.0,Diesel,2015,Automatique,0,225000.0
renault,Megane,6.0,Diesel,2020,Automatique,0,186000.0
honda,Cr-v,9.0,Diesel,2012,Automatique,0,123000.0
nissan,Evalia,6.0,Diesel,2019,Manuelle,0,102000.0
dacia,Duster,6.0,Diesel,2021,Manuelle,0,141900.0
dacia,Duster,6.0,Diesel,2021,Automatique,0,159000.0
toyota,C-hr,10.0,Hybride,2020,Automatique,0,224000.0
volkswagen,Touareg,12.0,Diesel,2019,Automatique,0,359000.0
toyota,C-hr,10.0,Hybride,2022,Automatique,0,240000.0
toyota,C-hr,10.0,Hybride,2022,Automatique,0,240000.0
